name,version,language,repository,license,license-url,license-source
cel.dev/expr,v0.16.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.5.0,go,unknown,Unknown,Unknown,Unknown
github.com/census-instrumentation/opencensus-proto,v0.4.1,go,https://github.com/census-instrumentation/opencensus-proto,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/census-instrumentation/opencensus-proto (normalized)
github.com/cespare/xxhash/v2,v2.3.0,go,https://github.com/cespare/xxhash/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/cncf/xds/go,v0.0.0-20240723142845-024c85f92f20,go,https://github.com/cncf/xds/go,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/cncf/xds (normalized)
github.com/envoyproxy/go-control-plane,v0.13.0,go,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
github.com/envoyproxy/protoc-gen-validate,v1.1.0,go,https://github.com/envoyproxy/protoc-gen-validate,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/envoyproxy/protoc-gen-validate (normalized)
github.com/golang/glog,v1.2.2,go,https://github.com/golang/glog,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/golang/glog (normalized)
github.com/golang/protobuf,v1.5.0,go,https://github.com/golang/protobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/golang/protobuf (normalized)
github.com/google/go-cmp,v0.5.5,go,https://github.com/google/go-cmp,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/go-cmp,v0.5.9,go,https://github.com/google/go-cmp,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/go-cmp,v0.6.0,go,https://github.com/google/go-cmp,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/uuid,v1.6.0,go,https://github.com/google/uuid,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/uuid (normalized)
github.com/planetscale/vtprotobuf,v0.6.1-0.20240319094008-0393e58bdf10,go,https://github.com/planetscale/vtprotobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/planetscale/vtprotobuf (normalized)
go,1.21,go,unknown,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://github.com/golang/go/blob/master/LICENSE (normalized)
go,1.21.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/crypto,v0.26.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/mod,v0.17.0,go,unknown,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://cs.opensource.google/go/x/mod/+/master:LICENSE (normalized)
golang.org/x/net,v0.28.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/oauth2,v0.22.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/sync,v0.8.0,go,unknown,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://cs.opensource.google/go/x/sync/+/master:LICENSE (normalized)
golang.org/x/sys,v0.23.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/sys,v0.24.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/term,v0.23.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/text,v0.17.0,go,unknown,Unknown,Unknown,Unknown
golang.org/x/tools,v0.21.1-0.20240508182429-e35e4ccd0d2d,go,unknown,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://cs.opensource.google/go/x/tools/+/master:LICENSE (normalized)
golang.org/x/xerrors,v0.0.0-20191204190536-9bdfabe68543,go,unknown,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://cs.opensource.google/go/x/xerrors/+/master:LICENSE (normalized)
google.golang.org/genproto/googleapis/api,v0.0.0-20240814211410-ddb44dafa142,go,unknown,Unknown,Unknown,Unknown
google.golang.org/genproto/googleapis/rpc,v0.0.0-20240814211410-ddb44dafa142,go,unknown,Unknown,Unknown,Unknown
google.golang.org/grpc,v1.67.0,go,unknown,Unknown,Unknown,Unknown
google.golang.org/protobuf,v1.34.2,go,unknown,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://github.com/protocolbuffers/protobuf-go/blob/master/LICENSE (normalized)
toolchain,go1.21.0,go,unknown,Unknown,Unknown,Unknown
